

 20%|████████████████▍                                                                 | 50/250 [03:20<13:23,  4.02s/it, loss_test=0.081]

 20%|████████████████▋                                                                 | 51/250 [03:25<13:21,  4.03s/it, loss_test=0.081]

 21%|█████████████████                                                                 | 52/250 [03:29<13:14,  4.01s/it, loss_test=0.081]

 21%|█████████████████▍                                                                | 53/250 [03:33<13:12,  4.02s/it, loss_test=0.081]

 22%|█████████████████▋                                                                | 54/250 [03:37<13:14,  4.05s/it, loss_test=0.081]

 22%|██████████████████                                                                | 55/250 [03:41<13:13,  4.07s/it, loss_test=0.081]

 22%|██████████████████▎                                                               | 56/250 [03:45<13:01,  4.03s/it, loss_test=0.081]

 23%|██████████████████▋                                                               | 57/250 [03:49<12:52,  4.00s/it, loss_test=0.081]

 23%|███████████████████                                                               | 58/250 [03:53<12:43,  3.98s/it, loss_test=0.081]

 24%|███████████████████▎                                                              | 59/250 [03:57<12:42,  3.99s/it, loss_test=0.081]

 24%|███████████████████▋                                                              | 60/250 [04:01<12:47,  4.04s/it, loss_test=0.081]

 24%|████████████████████                                                              | 61/250 [04:05<12:49,  4.07s/it, loss_test=0.081]

 25%|████████████████████▎                                                             | 62/250 [04:09<12:47,  4.08s/it, loss_test=0.081]

 25%|████████████████████▋                                                             | 63/250 [04:13<12:47,  4.10s/it, loss_test=0.081]

 26%|████████████████████▉                                                             | 64/250 [04:17<12:43,  4.11s/it, loss_test=0.081]

 26%|█████████████████████▎                                                            | 65/250 [04:21<12:33,  4.07s/it, loss_test=0.081]

 26%|█████████████████████▋                                                            | 66/250 [04:25<12:27,  4.06s/it, loss_test=0.081]

 27%|█████████████████████▉                                                            | 67/250 [04:29<12:16,  4.02s/it, loss_test=0.081]

 27%|██████████████████████▎                                                           | 68/250 [04:33<12:06,  3.99s/it, loss_test=0.081]

 28%|██████████████████████▋                                                           | 69/250 [04:37<11:56,  3.96s/it, loss_test=0.081]

 28%|██████████████████████▉                                                           | 70/250 [04:41<11:52,  3.96s/it, loss_test=0.081]

 28%|███████████████████████▎                                                          | 71/250 [04:45<11:49,  3.96s/it, loss_test=0.081]

 29%|███████████████████████▌                                                          | 72/250 [04:49<11:43,  3.95s/it, loss_test=0.081]

 29%|███████████████████████▉                                                          | 73/250 [04:53<11:40,  3.96s/it, loss_test=0.081]

 30%|████████████████████████▎                                                         | 74/250 [04:57<11:40,  3.98s/it, loss_test=0.081]

 30%|████████████████████████▌                                                         | 75/250 [05:01<11:36,  3.98s/it, loss_test=0.081]

 30%|████████████████████████▉                                                         | 76/250 [05:05<11:36,  4.00s/it, loss_test=0.081]

 31%|█████████████████████████▎                                                        | 77/250 [05:09<11:29,  3.99s/it, loss_test=0.081]

 31%|█████████████████████████▌                                                        | 78/250 [05:13<11:22,  3.97s/it, loss_test=0.081]

 32%|█████████████████████████▉                                                        | 79/250 [05:17<11:18,  3.97s/it, loss_test=0.081]

 32%|██████████████████████████▏                                                       | 80/250 [05:21<11:18,  3.99s/it, loss_test=0.081]

 32%|██████████████████████████▌                                                       | 81/250 [05:25<11:17,  4.01s/it, loss_test=0.081]

 33%|██████████████████████████▉                                                       | 82/250 [05:29<11:18,  4.04s/it, loss_test=0.081]

 33%|███████████████████████████▏                                                      | 83/250 [05:33<11:18,  4.06s/it, loss_test=0.081]

 34%|███████████████████████████▌                                                      | 84/250 [05:37<11:17,  4.08s/it, loss_test=0.081]

 34%|███████████████████████████▉                                                      | 85/250 [05:41<11:14,  4.09s/it, loss_test=0.081]

 34%|████████████████████████████▏                                                     | 86/250 [05:45<11:09,  4.08s/it, loss_test=0.081]

 35%|████████████████████████████▌                                                     | 87/250 [05:50<11:07,  4.10s/it, loss_test=0.081]


 36%|█████████████████████████████▏                                                    | 89/250 [05:58<11:02,  4.12s/it, loss_test=0.081]

 36%|█████████████████████████████▌                                                    | 90/250 [06:02<10:55,  4.10s/it, loss_test=0.081]

 36%|█████████████████████████████▊                                                    | 91/250 [06:06<10:49,  4.08s/it, loss_test=0.081]

