
  0%|                                                                                                                            | 0/250 [00:00<?, ?it/s]

  0%|▍                                                                                                  | 1/250 [00:04<18:00,  4.34s/it, loss_test=1.005]
 10%|█████████▊                                                                                        | 25/250 [01:45<16:06,  4.29s/it, loss_test=0.193]

 10%|██████████▏                                                                                       | 26/250 [01:50<15:57,  4.28s/it, loss_test=0.193]

 11%|██████████▌                                                                                       | 27/250 [01:54<15:49,  4.26s/it, loss_test=0.193]


 12%|███████████▎                                                                                      | 29/250 [02:03<16:24,  4.45s/it, loss_test=0.193]

 12%|███████████▊                                                                                      | 30/250 [02:07<16:09,  4.41s/it, loss_test=0.194]

 12%|████████████▏                                                                                     | 31/250 [02:12<15:57,  4.37s/it, loss_test=0.194]

 13%|████████████▌                                                                                     | 32/250 [02:16<15:47,  4.35s/it, loss_test=0.193]

 13%|████████████▉                                                                                     | 33/250 [02:20<15:38,  4.33s/it, loss_test=0.193]
Epoch: 32, Training Loss: 0.1859, Test Loss: 0.1934

 14%|█████████████▎                                                                                    | 34/250 [02:25<15:32,  4.32s/it, loss_test=0.194]

 14%|█████████████▋                                                                                    | 35/250 [02:29<15:25,  4.30s/it, loss_test=0.193]


 15%|██████████████▌                                                                                   | 37/250 [02:37<15:13,  4.29s/it, loss_test=0.194]

 15%|██████████████▉                                                                                   | 38/250 [02:42<15:15,  4.32s/it, loss_test=0.194]
Epoch: 37, Training Loss: 0.1852, Test Loss: 0.1944

 16%|███████████████▎                                                                                  | 39/250 [02:46<15:07,  4.30s/it, loss_test=0.194]

 16%|███████████████▋                                                                                  | 40/250 [02:50<14:59,  4.28s/it, loss_test=0.194]

 16%|████████████████                                                                                  | 41/250 [02:55<14:55,  4.29s/it, loss_test=0.194]

 17%|████████████████▍                                                                                 | 42/250 [02:59<14:49,  4.28s/it, loss_test=0.195]

 17%|████████████████▊                                                                                 | 43/250 [03:03<14:46,  4.28s/it, loss_test=0.195]


 18%|█████████████████▋                                                                                | 45/250 [03:12<14:32,  4.26s/it, loss_test=0.195]

 18%|██████████████████                                                                                | 46/250 [03:16<14:14,  4.19s/it, loss_test=0.195]

 19%|██████████████████▍                                                                               | 47/250 [03:20<14:04,  4.16s/it, loss_test=0.195]

 19%|██████████████████▊                                                                               | 48/250 [03:24<13:54,  4.13s/it, loss_test=0.196]

 20%|███████████████████▏                                                                              | 49/250 [03:28<13:49,  4.13s/it, loss_test=0.196]

 20%|███████████████████▌                                                                              | 50/250 [03:32<14:06,  4.23s/it, loss_test=0.196]

 20%|███████████████████▉                                                                              | 51/250 [03:37<13:52,  4.18s/it, loss_test=0.196]

 21%|████████████████████▍                                                                             | 52/250 [03:41<13:45,  4.17s/it, loss_test=0.196]

 21%|████████████████████▊                                                                             | 53/250 [03:45<13:43,  4.18s/it, loss_test=0.196]

 22%|█████████████████████▏                                                                            | 54/250 [03:49<13:42,  4.20s/it, loss_test=0.196]

 22%|█████████████████████▌                                                                            | 55/250 [03:53<13:38,  4.20s/it, loss_test=0.196]

 22%|█████████████████████▉                                                                            | 56/250 [03:58<13:39,  4.22s/it, loss_test=0.197]

 23%|██████████████████████▎                                                                           | 57/250 [04:02<13:32,  4.21s/it, loss_test=0.197]

 23%|██████████████████████▋                                                                           | 58/250 [04:06<13:36,  4.25s/it, loss_test=0.197]

 23%|██████████████████████▋                                                                           | 58/250 [04:10<13:36,  4.25s/it, loss_test=0.197]


 24%|███████████████████████▌                                                                          | 60/250 [04:15<13:41,  4.33s/it, loss_test=0.197]

 24%|███████████████████████▉                                                                          | 61/250 [04:19<13:35,  4.32s/it, loss_test=0.197]

 25%|████████████████████████▎                                                                         | 62/250 [04:24<13:30,  4.31s/it, loss_test=0.198]

 25%|████████████████████████▋                                                                         | 63/250 [04:28<13:21,  4.28s/it, loss_test=0.198]

 26%|█████████████████████████                                                                         | 64/250 [04:32<13:16,  4.28s/it, loss_test=0.198]

 26%|█████████████████████████▍                                                                        | 65/250 [04:36<13:12,  4.28s/it, loss_test=0.198]

 26%|█████████████████████████▊                                                                        | 66/250 [04:41<13:09,  4.29s/it, loss_test=0.198]

 27%|██████████████████████████▎                                                                       | 67/250 [04:45<13:09,  4.31s/it, loss_test=0.198]

 27%|██████████████████████████▋                                                                       | 68/250 [04:49<13:06,  4.32s/it, loss_test=0.198]

