

 27%|█████████████████████▉                                                            | 67/250 [06:38<18:13,  5.98s/it, loss_test=0.416]

 27%|██████████████████████▎                                                           | 68/250 [06:44<18:07,  5.98s/it, loss_test=0.416]

 28%|██████████████████████▋                                                           | 69/250 [06:50<17:59,  5.97s/it, loss_test=0.415]


 28%|███████████████████████▎                                                          | 71/250 [07:02<17:42,  5.94s/it, loss_test=0.415]

 29%|███████████████████████▌                                                          | 72/250 [07:08<17:41,  5.96s/it, loss_test=0.415]

 29%|███████████████████████▉                                                          | 73/250 [07:14<17:35,  5.96s/it, loss_test=0.416]

 30%|████████████████████████▎                                                         | 74/250 [07:20<17:26,  5.94s/it, loss_test=0.415]

 30%|████████████████████████▌                                                         | 75/250 [07:26<17:20,  5.95s/it, loss_test=0.416]

 30%|████████████████████████▉                                                         | 76/250 [07:32<17:13,  5.94s/it, loss_test=0.416]

 31%|█████████████████████████▎                                                        | 77/250 [07:38<17:16,  5.99s/it, loss_test=0.416]

 31%|█████████████████████████▌                                                        | 78/250 [07:44<17:11,  6.00s/it, loss_test=0.416]

 32%|█████████████████████████▉                                                        | 79/250 [07:50<17:10,  6.02s/it, loss_test=0.416]

 32%|██████████████████████████▏                                                       | 80/250 [07:56<17:07,  6.04s/it, loss_test=0.416]

 32%|██████████████████████████▌                                                       | 81/250 [08:02<17:02,  6.05s/it, loss_test=0.416]
Epoch: 80, Training Loss: 0.4036, Test Loss: 0.4158

 33%|██████████████████████████▉                                                       | 82/250 [08:08<16:57,  6.06s/it, loss_test=0.416]

 33%|███████████████████████████▏                                                      | 83/250 [08:14<16:47,  6.03s/it, loss_test=0.416]

 34%|███████████████████████████▌                                                      | 84/250 [08:20<16:38,  6.01s/it, loss_test=0.416]

 34%|███████████████████████████▉                                                      | 85/250 [08:26<16:37,  6.04s/it, loss_test=0.416]

 34%|████████████████████████████▏                                                     | 86/250 [08:33<16:35,  6.07s/it, loss_test=0.416]

 35%|████████████████████████████▌                                                     | 87/250 [08:39<16:23,  6.03s/it, loss_test=0.416]

 35%|████████████████████████████▊                                                     | 88/250 [08:44<16:15,  6.02s/it, loss_test=0.416]

 36%|█████████████████████████████▏                                                    | 89/250 [08:51<16:08,  6.02s/it, loss_test=0.416]


 36%|█████████████████████████████▌                                                    | 90/250 [09:02<15:58,  5.99s/it, loss_test=0.416]


 37%|██████████████████████████████▏                                                   | 92/250 [09:08<15:41,  5.96s/it, loss_test=0.416]

 37%|██████████████████████████████▌                                                   | 93/250 [09:14<15:35,  5.96s/it, loss_test=0.416]

 38%|██████████████████████████████▊                                                   | 94/250 [09:20<15:27,  5.95s/it, loss_test=0.416]

 38%|███████████████████████████████▏                                                  | 95/250 [09:26<15:28,  5.99s/it, loss_test=0.416]

 38%|███████████████████████████████▍                                                  | 96/250 [09:32<15:22,  5.99s/it, loss_test=0.416]

 39%|███████████████████████████████▊                                                  | 97/250 [09:38<15:21,  6.02s/it, loss_test=0.416]

 39%|████████████████████████████████▏                                                 | 98/250 [09:44<15:12,  6.00s/it, loss_test=0.416]

 40%|████████████████████████████████▍                                                 | 99/250 [09:50<15:06,  6.00s/it, loss_test=0.416]

 40%|████████████████████████████████▍                                                | 100/250 [09:56<15:00,  6.00s/it, loss_test=0.416]

 40%|████████████████████████████████▋                                                | 101/250 [10:02<14:54,  6.00s/it, loss_test=0.416]

 41%|█████████████████████████████████                                                | 102/250 [10:08<14:47,  5.99s/it, loss_test=0.416]

 41%|█████████████████████████████████▎                                               | 103/250 [10:14<14:38,  5.98s/it, loss_test=0.417]

