

 21%|██████████████████▋                                                                     | 53/250 [05:08<19:01,  5.79s/it, loss_test=0.425]
Epoch: 52, Training Loss: 0.4155, Test Loss: 0.4252

 22%|███████████████████                                                                     | 54/250 [05:14<18:52,  5.78s/it, loss_test=0.425]

 22%|███████████████████▎                                                                    | 55/250 [05:19<18:43,  5.76s/it, loss_test=0.425]

 22%|███████████████████▋                                                                    | 56/250 [05:25<18:38,  5.77s/it, loss_test=0.425]

 23%|████████████████████                                                                    | 57/250 [05:31<18:38,  5.80s/it, loss_test=0.425]

 23%|████████████████████▍                                                                   | 58/250 [05:37<18:29,  5.78s/it, loss_test=0.425]

 24%|████████████████████▊                                                                   | 59/250 [05:43<18:31,  5.82s/it, loss_test=0.425]


 24%|█████████████████████▍                                                                  | 61/250 [05:54<18:14,  5.79s/it, loss_test=0.425]

 25%|█████████████████████▊                                                                  | 62/250 [06:00<18:06,  5.78s/it, loss_test=0.425]
Epoch: 61, Training Loss: 0.4142, Test Loss: 0.4247

 25%|██████████████████████▏                                                                 | 63/250 [06:06<17:58,  5.77s/it, loss_test=0.425]

 26%|██████████████████████▌                                                                 | 64/250 [06:12<17:59,  5.80s/it, loss_test=0.425]

 26%|██████████████████████▉                                                                 | 65/250 [06:17<17:48,  5.78s/it, loss_test=0.425]

 26%|███████████████████████▏                                                                | 66/250 [06:23<17:47,  5.80s/it, loss_test=0.425]

 27%|███████████████████████▌                                                                | 67/250 [06:29<17:40,  5.80s/it, loss_test=0.425]

 27%|███████████████████████▉                                                                | 68/250 [06:35<17:38,  5.82s/it, loss_test=0.425]

 28%|████████████████████████▎                                                               | 69/250 [06:41<17:36,  5.84s/it, loss_test=0.424]

 28%|████████████████████████▋                                                               | 70/250 [06:47<17:34,  5.86s/it, loss_test=0.424]


 29%|█████████████████████████▎                                                              | 72/250 [06:58<17:15,  5.82s/it, loss_test=0.424]

 29%|█████████████████████████▋                                                              | 73/250 [07:04<17:06,  5.80s/it, loss_test=0.424]
Epoch: 72, Training Loss: 0.4129, Test Loss: 0.4244

 30%|██████████████████████████                                                              | 74/250 [07:10<17:02,  5.81s/it, loss_test=0.425]

 30%|██████████████████████████▍                                                             | 75/250 [07:15<16:53,  5.79s/it, loss_test=0.425]

 30%|██████████████████████████▊                                                             | 76/250 [07:21<16:44,  5.77s/it, loss_test=0.425]

 31%|███████████████████████████                                                             | 77/250 [07:27<16:36,  5.76s/it, loss_test=0.424]

 31%|███████████████████████████▍                                                            | 78/250 [07:33<16:39,  5.81s/it, loss_test=0.424]

 32%|███████████████████████████▊                                                            | 79/250 [07:39<16:47,  5.89s/it, loss_test=0.425]

 32%|████████████████████████████▏                                                           | 80/250 [07:45<16:41,  5.89s/it, loss_test=0.425]

 32%|████████████████████████████▌                                                           | 81/250 [07:51<16:44,  5.95s/it, loss_test=0.425]

 33%|████████████████████████████▊                                                           | 82/250 [07:57<16:38,  5.94s/it, loss_test=0.424]

 33%|█████████████████████████████▏                                                          | 83/250 [08:03<16:31,  5.94s/it, loss_test=0.424]

 34%|█████████████████████████████▌                                                          | 84/250 [08:09<16:26,  5.95s/it, loss_test=0.425]

 34%|█████████████████████████████▉                                                          | 85/250 [08:15<16:19,  5.93s/it, loss_test=0.425]


 35%|██████████████████████████████▌                                                         | 87/250 [08:26<15:54,  5.86s/it, loss_test=0.424]

 35%|██████████████████████████████▉                                                         | 88/250 [08:32<15:47,  5.85s/it, loss_test=0.425]

 36%|███████████████████████████████▎                                                        | 89/250 [08:38<15:44,  5.86s/it, loss_test=0.425]
Epoch: 88, Training Loss: 0.4115, Test Loss: 0.4247

 36%|███████████████████████████████▋                                                        | 90/250 [08:44<15:33,  5.84s/it, loss_test=0.425]

 36%|████████████████████████████████                                                        | 91/250 [08:50<15:31,  5.86s/it, loss_test=0.425]

 37%|████████████████████████████████▍                                                       | 92/250 [08:56<15:27,  5.87s/it, loss_test=0.425]

 37%|████████████████████████████████▋                                                       | 93/250 [09:01<15:20,  5.86s/it, loss_test=0.425]

 38%|█████████████████████████████████                                                       | 94/250 [09:07<15:15,  5.87s/it, loss_test=0.425]

 38%|█████████████████████████████████▍                                                      | 95/250 [09:13<15:16,  5.91s/it, loss_test=0.425]

 38%|█████████████████████████████████▊                                                      | 96/250 [09:19<15:14,  5.94s/it, loss_test=0.425]

 39%|██████████████████████████████████▏                                                     | 97/250 [09:25<15:09,  5.95s/it, loss_test=0.425]

 39%|██████████████████████████████████▍                                                     | 98/250 [09:31<15:02,  5.94s/it, loss_test=0.425]

 40%|██████████████████████████████████▊                                                     | 99/250 [09:37<14:52,  5.91s/it, loss_test=0.425]

 40%|██████████████████████████████████▊                                                    | 100/250 [09:43<14:45,  5.90s/it, loss_test=0.425]

 40%|███████████████████████████████████▏                                                   | 101/250 [09:49<14:37,  5.89s/it, loss_test=0.425]

 41%|███████████████████████████████████▍                                                   | 102/250 [09:55<14:38,  5.93s/it, loss_test=0.425]

 41%|███████████████████████████████████▊                                                   | 103/250 [10:01<14:36,  5.97s/it, loss_test=0.425]

 42%|████████████████████████████████████▏                                                  | 104/250 [10:07<14:23,  5.92s/it, loss_test=0.425]


 42%|████████████████████████████████████▉                                                  | 106/250 [10:18<14:06,  5.88s/it, loss_test=0.425]

 43%|█████████████████████████████████████▏                                                 | 107/250 [10:24<13:57,  5.86s/it, loss_test=0.425]

 43%|█████████████████████████████████████▌                                                 | 108/250 [10:30<13:54,  5.88s/it, loss_test=0.425]
Epoch: 107, Training Loss: 0.4101, Test Loss: 0.4250

 44%|█████████████████████████████████████▉                                                 | 109/250 [10:36<13:45,  5.86s/it, loss_test=0.425]

 44%|██████████████████████████████████████▎                                                | 110/250 [10:42<13:47,  5.91s/it, loss_test=0.425]

 44%|██████████████████████████████████████▋                                                | 111/250 [10:48<13:46,  5.95s/it, loss_test=0.425]

 45%|██████████████████████████████████████▉                                                | 112/250 [10:54<13:39,  5.94s/it, loss_test=0.425]

 45%|███████████████████████████████████████▎                                               | 113/250 [11:00<13:27,  5.90s/it, loss_test=0.425]

 46%|███████████████████████████████████████▋                                               | 114/250 [11:06<13:21,  5.89s/it, loss_test=0.425]

 46%|████████████████████████████████████████                                               | 115/250 [11:11<13:12,  5.87s/it, loss_test=0.425]

