
  0%|                                                                                                                  | 0/250 [00:00<?, ?it/s]


  1%|▋                                                                                        | 2/250 [00:12<24:59,  6.05s/it, loss_test=0.703]
 16%|█████████████▋                                                                          | 39/250 [03:58<21:20,  6.07s/it, loss_test=0.492]

 16%|██████████████                                                                          | 40/250 [04:04<21:10,  6.05s/it, loss_test=0.492]

 16%|██████████████▍                                                                         | 41/250 [04:10<21:06,  6.06s/it, loss_test=0.492]


 17%|███████████████▏                                                                        | 43/250 [04:22<21:00,  6.09s/it, loss_test=0.491]

 18%|███████████████▍                                                                        | 44/250 [04:28<20:56,  6.10s/it, loss_test=0.491]
Epoch: 43, Training Loss: 0.4783, Test Loss: 0.4910

 18%|███████████████▊                                                                        | 45/250 [04:34<20:51,  6.11s/it, loss_test=0.491]

 18%|████████████████▏                                                                       | 46/250 [04:40<20:46,  6.11s/it, loss_test=0.490]

 19%|████████████████▌                                                                       | 47/250 [04:46<20:36,  6.09s/it, loss_test=0.490]

 19%|████████████████▉                                                                       | 48/250 [04:52<20:33,  6.11s/it, loss_test=0.490]

 20%|█████████████████▏                                                                      | 49/250 [04:59<20:25,  6.10s/it, loss_test=0.490]

 20%|█████████████████▌                                                                      | 50/250 [05:05<20:17,  6.09s/it, loss_test=0.490]


 21%|██████████████████▎                                                                     | 52/250 [05:17<20:07,  6.10s/it, loss_test=0.490]

 21%|██████████████████▋                                                                     | 53/250 [05:23<20:02,  6.10s/it, loss_test=0.490]
Epoch: 52, Training Loss: 0.4756, Test Loss: 0.4900

 22%|███████████████████                                                                     | 54/250 [05:29<19:55,  6.10s/it, loss_test=0.490]


 22%|███████████████████▋                                                                    | 56/250 [05:41<19:45,  6.11s/it, loss_test=0.490]
Epoch: 55, Training Loss: 0.4747, Test Loss: 0.4896

 23%|████████████████████                                                                    | 57/250 [05:47<19:40,  6.12s/it, loss_test=0.490]

 23%|████████████████████▍                                                                   | 58/250 [05:53<19:31,  6.10s/it, loss_test=0.489]

 24%|████████████████████▊                                                                   | 59/250 [06:00<19:26,  6.11s/it, loss_test=0.489]


 24%|█████████████████████▍                                                                  | 61/250 [06:12<19:17,  6.12s/it, loss_test=0.489]
Epoch: 60, Training Loss: 0.4735, Test Loss: 0.4891

 25%|█████████████████████▊                                                                  | 62/250 [06:18<19:06,  6.10s/it, loss_test=0.489]

 25%|██████████████████████▏                                                                 | 63/250 [06:24<19:05,  6.13s/it, loss_test=0.489]

 26%|██████████████████████▌                                                                 | 64/250 [06:30<19:00,  6.13s/it, loss_test=0.489]


 26%|███████████████████████▏                                                                | 66/250 [06:42<18:48,  6.13s/it, loss_test=0.489]

 27%|███████████████████████▌                                                                | 67/250 [06:49<18:41,  6.13s/it, loss_test=0.489]

 27%|███████████████████████▉                                                                | 68/250 [06:55<18:34,  6.12s/it, loss_test=0.489]
Epoch: 67, Training Loss: 0.4721, Test Loss: 0.4891

 28%|████████████████████████▎                                                               | 69/250 [07:01<18:27,  6.12s/it, loss_test=0.489]

 28%|████████████████████████▋                                                               | 70/250 [07:07<18:12,  6.07s/it, loss_test=0.489]

 28%|████████████████████████▉                                                               | 71/250 [07:13<18:03,  6.06s/it, loss_test=0.489]

 29%|█████████████████████████▎                                                              | 72/250 [07:19<17:56,  6.05s/it, loss_test=0.489]

 29%|█████████████████████████▋                                                              | 73/250 [07:25<17:48,  6.04s/it, loss_test=0.489]

 30%|██████████████████████████                                                              | 74/250 [07:31<17:43,  6.04s/it, loss_test=0.489]

 30%|██████████████████████████▍                                                             | 75/250 [07:37<17:32,  6.01s/it, loss_test=0.489]

 30%|██████████████████████████▊                                                             | 76/250 [07:43<17:26,  6.01s/it, loss_test=0.489]

 31%|███████████████████████████                                                             | 77/250 [07:49<17:23,  6.03s/it, loss_test=0.489]

 31%|███████████████████████████▍                                                            | 78/250 [07:55<17:15,  6.02s/it, loss_test=0.489]

