
  0%|                                                                                                                  | 0/250 [00:00<?, ?it/s]

 14%|███████████▉                                                                            | 34/250 [03:17<21:07,  5.87s/it, loss_test=0.435]

 14%|████████████▎                                                                           | 35/250 [03:23<20:58,  5.86s/it, loss_test=0.436]

 14%|████████████▋                                                                           | 36/250 [03:29<20:52,  5.85s/it, loss_test=0.437]

 15%|█████████████                                                                           | 37/250 [03:34<20:42,  5.83s/it, loss_test=0.438]

 15%|█████████████▍                                                                          | 38/250 [03:40<20:31,  5.81s/it, loss_test=0.439]


 16%|██████████████                                                                          | 40/250 [03:52<20:24,  5.83s/it, loss_test=0.441]

 16%|██████████████▍                                                                         | 41/250 [03:58<20:21,  5.84s/it, loss_test=0.441]

 17%|██████████████▊                                                                         | 42/250 [04:04<20:17,  5.85s/it, loss_test=0.441]
Epoch: 41, Training Loss: 0.3863, Test Loss: 0.4414

 17%|███████████████▏                                                                        | 43/250 [04:09<20:11,  5.85s/it, loss_test=0.443]

 18%|███████████████▍                                                                        | 44/250 [04:15<20:06,  5.85s/it, loss_test=0.444]

 18%|███████████████▊                                                                        | 45/250 [04:21<19:58,  5.85s/it, loss_test=0.445]

 18%|████████████████▏                                                                       | 46/250 [04:27<19:52,  5.85s/it, loss_test=0.446]

 19%|████████████████▌                                                                       | 47/250 [04:33<19:46,  5.85s/it, loss_test=0.447]

 19%|████████████████▉                                                                       | 48/250 [04:39<19:41,  5.85s/it, loss_test=0.448]

 20%|█████████████████▏                                                                      | 49/250 [04:45<19:32,  5.83s/it, loss_test=0.449]

 20%|█████████████████▌                                                                      | 50/250 [04:50<19:25,  5.83s/it, loss_test=0.450]

 20%|█████████████████▉                                                                      | 51/250 [04:56<19:29,  5.88s/it, loss_test=0.451]


 21%|██████████████████▋                                                                     | 53/250 [05:08<19:17,  5.88s/it, loss_test=0.452]

 22%|███████████████████                                                                     | 54/250 [05:14<19:14,  5.89s/it, loss_test=0.453]

 22%|███████████████████▎                                                                    | 55/250 [05:20<19:15,  5.92s/it, loss_test=0.454]

 22%|███████████████████▋                                                                    | 56/250 [05:26<19:11,  5.93s/it, loss_test=0.455]

 23%|████████████████████                                                                    | 57/250 [05:32<19:02,  5.92s/it, loss_test=0.456]

 23%|████████████████████▍                                                                   | 58/250 [05:38<18:55,  5.91s/it, loss_test=0.458]

 24%|████████████████████▊                                                                   | 59/250 [05:44<18:49,  5.91s/it, loss_test=0.457]
Epoch: 58, Training Loss: 0.3735, Test Loss: 0.4570

