

  9%|████████                                                                                | 23/250 [02:16<22:07,  5.85s/it, loss_test=0.421]
Epoch: 22, Training Loss: 0.4118, Test Loss: 0.4205

 10%|████████▍                                                                               | 24/250 [02:22<22:05,  5.87s/it, loss_test=0.420]

 10%|████████▊                                                                               | 25/250 [02:27<21:56,  5.85s/it, loss_test=0.420]

 10%|█████████▏                                                                              | 26/250 [02:33<21:53,  5.87s/it, loss_test=0.420]

 11%|█████████▌                                                                              | 27/250 [02:39<21:51,  5.88s/it, loss_test=0.419]

 11%|█████████▊                                                                              | 28/250 [02:45<21:47,  5.89s/it, loss_test=0.420]

 12%|██████████▏                                                                             | 29/250 [02:51<21:41,  5.89s/it, loss_test=0.419]

 12%|██████████▌                                                                             | 30/250 [02:57<21:36,  5.89s/it, loss_test=0.419]

 12%|██████████▉                                                                             | 31/250 [03:03<21:29,  5.89s/it, loss_test=0.419]

 13%|███████████▎                                                                            | 32/250 [03:09<21:28,  5.91s/it, loss_test=0.419]

 13%|███████████▌                                                                            | 33/250 [03:15<21:22,  5.91s/it, loss_test=0.419]

 14%|███████████▉                                                                            | 34/250 [03:20<21:13,  5.90s/it, loss_test=0.419]

 14%|████████████▎                                                                           | 35/250 [03:26<21:12,  5.92s/it, loss_test=0.419]


 15%|█████████████                                                                           | 37/250 [03:38<20:45,  5.85s/it, loss_test=0.418]

 15%|█████████████▍                                                                          | 38/250 [03:44<20:43,  5.87s/it, loss_test=0.418]

 16%|█████████████▋                                                                          | 39/250 [03:50<20:36,  5.86s/it, loss_test=0.418]
Epoch: 38, Training Loss: 0.4067, Test Loss: 0.4184

 16%|██████████████                                                                          | 40/250 [03:56<20:33,  5.87s/it, loss_test=0.419]

 16%|██████████████▍                                                                         | 41/250 [04:01<20:20,  5.84s/it, loss_test=0.419]

 17%|██████████████▊                                                                         | 42/250 [04:07<20:12,  5.83s/it, loss_test=0.418]

 17%|███████████████▏                                                                        | 43/250 [04:13<20:07,  5.83s/it, loss_test=0.419]

 18%|███████████████▍                                                                        | 44/250 [04:19<19:59,  5.82s/it, loss_test=0.419]

 18%|███████████████▊                                                                        | 45/250 [04:25<19:57,  5.84s/it, loss_test=0.419]

 18%|████████████████▏                                                                       | 46/250 [04:31<19:57,  5.87s/it, loss_test=0.419]

 19%|████████████████▌                                                                       | 47/250 [04:37<19:58,  5.90s/it, loss_test=0.419]

 19%|████████████████▉                                                                       | 48/250 [04:43<19:56,  5.92s/it, loss_test=0.419]

 20%|█████████████████▏                                                                      | 49/250 [04:48<19:42,  5.88s/it, loss_test=0.419]


 20%|█████████████████▉                                                                      | 51/250 [05:00<19:27,  5.87s/it, loss_test=0.420]

 21%|██████████████████▎                                                                     | 52/250 [05:06<19:18,  5.85s/it, loss_test=0.420]

 21%|██████████████████▋                                                                     | 53/250 [05:12<19:10,  5.84s/it, loss_test=0.419]
Epoch: 52, Training Loss: 0.4042, Test Loss: 0.4193

 22%|███████████████████                                                                     | 54/250 [05:18<19:06,  5.85s/it, loss_test=0.419]

 22%|███████████████████▎                                                                    | 55/250 [05:24<19:08,  5.89s/it, loss_test=0.420]

 22%|███████████████████▋                                                                    | 56/250 [05:29<18:57,  5.86s/it, loss_test=0.419]

 23%|████████████████████                                                                    | 57/250 [05:35<18:52,  5.87s/it, loss_test=0.420]

 23%|████████████████████▍                                                                   | 58/250 [05:41<18:47,  5.87s/it, loss_test=0.420]

 24%|████████████████████▊                                                                   | 59/250 [05:47<18:49,  5.92s/it, loss_test=0.420]

 24%|█████████████████████                                                                   | 60/250 [05:53<18:40,  5.90s/it, loss_test=0.420]

 24%|█████████████████████▍                                                                  | 61/250 [05:59<18:29,  5.87s/it, loss_test=0.420]

 25%|█████████████████████▊                                                                  | 62/250 [06:05<18:21,  5.86s/it, loss_test=0.420]

 25%|██████████████████████▏                                                                 | 63/250 [06:11<18:18,  5.88s/it, loss_test=0.420]

 26%|██████████████████████▌                                                                 | 64/250 [06:17<18:14,  5.88s/it, loss_test=0.420]

 26%|██████████████████████▉                                                                 | 65/250 [06:22<18:09,  5.89s/it, loss_test=0.421]


