

 11%|█████████▊                                                                              | 28/250 [02:54<23:13,  6.28s/it, loss_test=0.415]

 12%|██████████▏                                                                             | 29/250 [03:01<23:06,  6.27s/it, loss_test=0.414]

 12%|██████████▌                                                                             | 30/250 [03:07<22:58,  6.27s/it, loss_test=0.414]

 12%|██████████▉                                                                             | 31/250 [03:13<22:54,  6.28s/it, loss_test=0.414]

 13%|███████████▎                                                                            | 32/250 [03:20<22:49,  6.28s/it, loss_test=0.415]

 13%|███████████▌                                                                            | 33/250 [03:26<22:43,  6.28s/it, loss_test=0.414]

 14%|███████████▉                                                                            | 34/250 [03:32<22:35,  6.27s/it, loss_test=0.414]

 14%|████████████▎                                                                           | 35/250 [03:38<22:30,  6.28s/it, loss_test=0.414]

 14%|████████████▋                                                                           | 36/250 [03:45<22:23,  6.28s/it, loss_test=0.414]

 15%|█████████████                                                                           | 37/250 [03:51<22:17,  6.28s/it, loss_test=0.414]

 15%|█████████████▍                                                                          | 38/250 [03:57<22:10,  6.28s/it, loss_test=0.414]

 16%|█████████████▋                                                                          | 39/250 [04:03<22:04,  6.28s/it, loss_test=0.414]

 16%|██████████████                                                                          | 40/250 [04:10<22:01,  6.29s/it, loss_test=0.414]

 16%|██████████████▍                                                                         | 41/250 [04:16<21:55,  6.29s/it, loss_test=0.414]

 17%|██████████████▊                                                                         | 42/250 [04:22<21:51,  6.30s/it, loss_test=0.414]

 17%|███████████████▏                                                                        | 43/250 [04:29<21:45,  6.31s/it, loss_test=0.414]

 18%|███████████████▍                                                                        | 44/250 [04:35<21:38,  6.30s/it, loss_test=0.414]

 18%|███████████████▊                                                                        | 45/250 [04:41<21:28,  6.29s/it, loss_test=0.415]

 18%|████████████████▏                                                                       | 46/250 [04:48<21:23,  6.29s/it, loss_test=0.414]

 19%|████████████████▌                                                                       | 47/250 [04:54<21:15,  6.28s/it, loss_test=0.415]

 19%|████████████████▉                                                                       | 48/250 [05:00<21:09,  6.29s/it, loss_test=0.414]

 20%|█████████████████▏                                                                      | 49/250 [05:06<21:02,  6.28s/it, loss_test=0.415]

 20%|█████████████████▌                                                                      | 50/250 [05:13<20:57,  6.29s/it, loss_test=0.415]

 20%|█████████████████▉                                                                      | 51/250 [05:19<20:50,  6.28s/it, loss_test=0.415]

 21%|██████████████████▎                                                                     | 52/250 [05:25<20:42,  6.27s/it, loss_test=0.415]

 21%|██████████████████▋                                                                     | 53/250 [05:31<20:33,  6.26s/it, loss_test=0.415]


 22%|███████████████████▎                                                                    | 55/250 [05:44<20:22,  6.27s/it, loss_test=0.415]
Epoch: 54, Training Loss: 0.3995, Test Loss: 0.4152

 22%|███████████████████▋                                                                    | 56/250 [05:50<20:17,  6.27s/it, loss_test=0.415]

 23%|████████████████████                                                                    | 57/250 [05:57<20:14,  6.29s/it, loss_test=0.415]

 23%|████████████████████▍                                                                   | 58/250 [06:03<20:07,  6.29s/it, loss_test=0.416]

 24%|████████████████████▊                                                                   | 59/250 [06:09<20:01,  6.29s/it, loss_test=0.416]

 24%|█████████████████████                                                                   | 60/250 [06:16<19:56,  6.30s/it, loss_test=0.416]

 24%|█████████████████████▍                                                                  | 61/250 [06:22<19:47,  6.28s/it, loss_test=0.416]

 25%|█████████████████████▊                                                                  | 62/250 [06:28<19:38,  6.27s/it, loss_test=0.416]

 25%|██████████████████████▏                                                                 | 63/250 [06:34<19:30,  6.26s/it, loss_test=0.416]

 26%|██████████████████████▌                                                                 | 64/250 [06:40<19:21,  6.24s/it, loss_test=0.416]

 26%|██████████████████████▉                                                                 | 65/250 [06:47<19:12,  6.23s/it, loss_test=0.416]

 26%|███████████████████████▏                                                                | 66/250 [06:53<19:04,  6.22s/it, loss_test=0.417]

 27%|███████████████████████▌                                                                | 67/250 [06:59<18:57,  6.21s/it, loss_test=0.417]

 27%|███████████████████████▉                                                                | 68/250 [07:05<18:52,  6.22s/it, loss_test=0.417]

 28%|████████████████████████▎                                                               | 69/250 [07:12<18:48,  6.24s/it, loss_test=0.417]


 28%|████████████████████████▉                                                               | 71/250 [07:24<18:38,  6.25s/it, loss_test=0.417]
Epoch: 70, Training Loss: 0.3968, Test Loss: 0.4173

 29%|█████████████████████████▎                                                              | 72/250 [07:30<18:32,  6.25s/it, loss_test=0.417]

 29%|█████████████████████████▋                                                              | 73/250 [07:37<18:29,  6.27s/it, loss_test=0.418]

 30%|██████████████████████████                                                              | 74/250 [07:43<18:21,  6.26s/it, loss_test=0.418]

 30%|██████████████████████████▍                                                             | 75/250 [07:49<18:18,  6.28s/it, loss_test=0.418]

 30%|██████████████████████████▊                                                             | 76/250 [07:56<18:14,  6.29s/it, loss_test=0.418]

 31%|███████████████████████████                                                             | 77/250 [08:02<18:06,  6.28s/it, loss_test=0.418]

 31%|███████████████████████████▍                                                            | 78/250 [08:08<18:00,  6.28s/it, loss_test=0.419]

 32%|███████████████████████████▊                                                            | 79/250 [08:14<17:54,  6.28s/it, loss_test=0.418]

 32%|████████████████████████████▏                                                           | 80/250 [08:21<17:51,  6.30s/it, loss_test=0.418]

 32%|████████████████████████████▌                                                           | 81/250 [08:27<17:43,  6.29s/it, loss_test=0.420]

 33%|████████████████████████████▊                                                           | 82/250 [08:33<17:38,  6.30s/it, loss_test=0.419]

 33%|█████████████████████████████▏                                                          | 83/250 [08:40<17:31,  6.29s/it, loss_test=0.420]

 34%|█████████████████████████████▌                                                          | 84/250 [08:46<17:22,  6.28s/it, loss_test=0.419]

 34%|█████████████████████████████▉                                                          | 85/250 [08:52<17:14,  6.27s/it, loss_test=0.420]

 34%|██████████████████████████████▎                                                         | 86/250 [08:58<17:08,  6.27s/it, loss_test=0.420]

 35%|██████████████████████████████▌                                                         | 87/250 [09:05<17:02,  6.27s/it, loss_test=0.420]

 35%|██████████████████████████████▉                                                         | 88/250 [09:11<16:54,  6.26s/it, loss_test=0.421]

 36%|███████████████████████████████▎                                                        | 89/250 [09:17<16:48,  6.26s/it, loss_test=0.421]

 36%|███████████████████████████████▋                                                        | 90/250 [09:23<16:41,  6.26s/it, loss_test=0.420]

 36%|████████████████████████████████                                                        | 91/250 [09:30<16:35,  6.26s/it, loss_test=0.421]


 37%|████████████████████████████████▋                                                       | 93/250 [09:42<16:26,  6.28s/it, loss_test=0.421]
Epoch: 92, Training Loss: 0.3925, Test Loss: 0.4210

 38%|█████████████████████████████████                                                       | 94/250 [09:49<16:20,  6.28s/it, loss_test=0.422]

 38%|█████████████████████████████████▍                                                      | 95/250 [09:55<16:13,  6.28s/it, loss_test=0.421]

 38%|█████████████████████████████████▊                                                      | 96/250 [10:01<16:06,  6.28s/it, loss_test=0.422]

 39%|██████████████████████████████████▏                                                     | 97/250 [10:07<15:59,  6.27s/it, loss_test=0.421]

 39%|██████████████████████████████████▍                                                     | 98/250 [10:14<15:57,  6.30s/it, loss_test=0.423]

 40%|██████████████████████████████████▊                                                     | 99/250 [10:20<15:50,  6.29s/it, loss_test=0.423]

 40%|██████████████████████████████████▊                                                    | 100/250 [10:26<15:42,  6.29s/it, loss_test=0.423]

 40%|███████████████████████████████████▏                                                   | 101/250 [10:33<15:36,  6.29s/it, loss_test=0.424]

 41%|███████████████████████████████████▍                                                   | 102/250 [10:39<15:28,  6.27s/it, loss_test=0.424]

 41%|███████████████████████████████████▊                                                   | 103/250 [10:45<15:19,  6.26s/it, loss_test=0.424]

 42%|████████████████████████████████████▏                                                  | 104/250 [10:51<15:17,  6.28s/it, loss_test=0.425]

 42%|████████████████████████████████████▌                                                  | 105/250 [10:58<15:11,  6.29s/it, loss_test=0.424]

 42%|████████████████████████████████████▉                                                  | 106/250 [11:04<15:05,  6.29s/it, loss_test=0.425]

 43%|█████████████████████████████████████▏                                                 | 107/250 [11:10<15:00,  6.30s/it, loss_test=0.425]

 43%|█████████████████████████████████████▌                                                 | 108/250 [11:17<14:52,  6.29s/it, loss_test=0.425]

 44%|█████████████████████████████████████▉                                                 | 109/250 [11:23<14:45,  6.28s/it, loss_test=0.425]

 44%|██████████████████████████████████████▎                                                | 110/250 [11:29<14:38,  6.28s/it, loss_test=0.427]

 44%|██████████████████████████████████████▋                                                | 111/250 [11:35<14:33,  6.29s/it, loss_test=0.426]

 45%|██████████████████████████████████████▉                                                | 112/250 [11:42<14:27,  6.28s/it, loss_test=0.426]

 45%|███████████████████████████████████████▎                                               | 113/250 [11:48<14:20,  6.28s/it, loss_test=0.426]

 46%|███████████████████████████████████████▋                                               | 114/250 [11:54<14:14,  6.28s/it, loss_test=0.427]

 46%|████████████████████████████████████████                                               | 115/250 [12:01<14:12,  6.31s/it, loss_test=0.427]

 46%|████████████████████████████████████████▎                                              | 116/250 [12:07<14:04,  6.30s/it, loss_test=0.427]

 47%|████████████████████████████████████████▋                                              | 117/250 [12:13<13:56,  6.29s/it, loss_test=0.427]

 47%|█████████████████████████████████████████                                              | 118/250 [12:19<13:50,  6.29s/it, loss_test=0.428]

 48%|█████████████████████████████████████████▍                                             | 119/250 [12:26<13:42,  6.28s/it, loss_test=0.428]

 48%|█████████████████████████████████████████▊                                             | 120/250 [12:32<13:40,  6.31s/it, loss_test=0.428]

 48%|██████████████████████████████████████████                                             | 121/250 [12:38<13:35,  6.32s/it, loss_test=0.429]

 49%|██████████████████████████████████████████▍                                            | 122/250 [12:45<13:30,  6.33s/it, loss_test=0.429]

 49%|██████████████████████████████████████████▊                                            | 123/250 [12:51<13:24,  6.34s/it, loss_test=0.429]

 50%|███████████████████████████████████████████▏                                           | 124/250 [12:57<13:17,  6.33s/it, loss_test=0.428]

 50%|███████████████████████████████████████████▌                                           | 125/250 [13:04<13:09,  6.32s/it, loss_test=0.431]

 50%|███████████████████████████████████████████▊                                           | 126/250 [13:10<13:02,  6.31s/it, loss_test=0.430]


 51%|████████████████████████████████████████████▌                                          | 128/250 [13:23<12:46,  6.28s/it, loss_test=0.430]
Epoch: 127, Training Loss: 0.3852, Test Loss: 0.4296

 52%|████████████████████████████████████████████▉                                          | 129/250 [13:29<12:41,  6.29s/it, loss_test=0.431]

 52%|█████████████████████████████████████████████▏                                         | 130/250 [13:35<12:34,  6.28s/it, loss_test=0.431]

 52%|█████████████████████████████████████████████▌                                         | 131/250 [13:41<12:26,  6.27s/it, loss_test=0.432]

 53%|█████████████████████████████████████████████▉                                         | 132/250 [13:48<12:20,  6.28s/it, loss_test=0.431]

 53%|██████████████████████████████████████████████▎                                        | 133/250 [13:54<12:15,  6.29s/it, loss_test=0.432]


 54%|██████████████████████████████████████████████▉                                        | 135/250 [14:07<12:05,  6.31s/it, loss_test=0.431]
Epoch: 134, Training Loss: 0.3837, Test Loss: 0.4314

 54%|███████████████████████████████████████████████▎                                       | 136/250 [14:13<12:01,  6.33s/it, loss_test=0.433]

 55%|███████████████████████████████████████████████▋                                       | 137/250 [14:19<11:55,  6.33s/it, loss_test=0.433]

 55%|████████████████████████████████████████████████                                       | 138/250 [14:26<11:49,  6.33s/it, loss_test=0.434]

 56%|████████████████████████████████████████████████▎                                      | 139/250 [14:32<11:42,  6.33s/it, loss_test=0.433]

 56%|████████████████████████████████████████████████▋                                      | 140/250 [14:38<11:35,  6.33s/it, loss_test=0.433]

 56%|█████████████████████████████████████████████████                                      | 141/250 [14:45<11:32,  6.35s/it, loss_test=0.434]

 57%|█████████████████████████████████████████████████▍                                     | 142/250 [14:51<11:25,  6.34s/it, loss_test=0.434]

 57%|█████████████████████████████████████████████████▊                                     | 143/250 [14:57<11:17,  6.33s/it, loss_test=0.434]

 58%|██████████████████████████████████████████████████                                     | 144/250 [15:04<11:12,  6.34s/it, loss_test=0.436]

 58%|██████████████████████████████████████████████████▍                                    | 145/250 [15:10<11:05,  6.34s/it, loss_test=0.436]


 59%|███████████████████████████████████████████████████▏                                   | 147/250 [15:23<10:51,  6.32s/it, loss_test=0.435]
Epoch: 146, Training Loss: 0.3810, Test Loss: 0.4354

 59%|███████████████████████████████████████████████████▌                                   | 148/250 [15:29<10:43,  6.31s/it, loss_test=0.436]

 60%|███████████████████████████████████████████████████▊                                   | 149/250 [15:35<10:37,  6.32s/it, loss_test=0.436]

 60%|████████████████████████████████████████████████████▏                                  | 150/250 [15:42<10:33,  6.33s/it, loss_test=0.437]

 60%|████████████████████████████████████████████████████▌                                  | 151/250 [15:48<10:27,  6.34s/it, loss_test=0.438]


 61%|█████████████████████████████████████████████████████▏                                 | 153/250 [16:01<10:15,  6.34s/it, loss_test=0.438]
Epoch: 152, Training Loss: 0.3797, Test Loss: 0.4378

 62%|█████████████████████████████████████████████████████▌                                 | 154/250 [16:07<10:04,  6.30s/it, loss_test=0.438]

 62%|█████████████████████████████████████████████████████▉                                 | 155/250 [16:13<09:59,  6.31s/it, loss_test=0.438]

 62%|██████████████████████████████████████████████████████▎                                | 156/250 [16:20<09:53,  6.31s/it, loss_test=0.438]

 63%|██████████████████████████████████████████████████████▋                                | 157/250 [16:26<09:47,  6.31s/it, loss_test=0.438]

 63%|██████████████████████████████████████████████████████▉                                | 158/250 [16:32<09:42,  6.33s/it, loss_test=0.438]

 64%|███████████████████████████████████████████████████████▎                               | 159/250 [16:39<09:36,  6.33s/it, loss_test=0.440]

 64%|███████████████████████████████████████████████████████▋                               | 160/250 [16:45<09:30,  6.34s/it, loss_test=0.440]

 64%|████████████████████████████████████████████████████████                               | 161/250 [16:51<09:27,  6.37s/it, loss_test=0.440]

 65%|████████████████████████████████████████████████████████▍                              | 162/250 [16:58<09:19,  6.36s/it, loss_test=0.440]

 65%|████████████████████████████████████████████████████████▋                              | 163/250 [17:04<09:13,  6.36s/it, loss_test=0.440]


 66%|█████████████████████████████████████████████████████████▍                             | 165/250 [17:17<09:01,  6.37s/it, loss_test=0.440]
Epoch: 164, Training Loss: 0.3771, Test Loss: 0.4400

 66%|█████████████████████████████████████████████████████████▊                             | 166/250 [17:23<08:55,  6.38s/it, loss_test=0.442]

 67%|██████████████████████████████████████████████████████████                             | 167/250 [17:30<08:48,  6.37s/it, loss_test=0.442]

 67%|██████████████████████████████████████████████████████████▍                            | 168/250 [17:36<08:41,  6.36s/it, loss_test=0.443]

 68%|██████████████████████████████████████████████████████████▊                            | 169/250 [17:42<08:34,  6.36s/it, loss_test=0.442]

 68%|███████████████████████████████████████████████████████████▏                           | 170/250 [17:49<08:28,  6.36s/it, loss_test=0.442]

 68%|███████████████████████████████████████████████████████████▌                           | 171/250 [17:55<08:22,  6.36s/it, loss_test=0.444]

 69%|███████████████████████████████████████████████████████████▊                           | 172/250 [18:01<08:15,  6.35s/it, loss_test=0.443]

 69%|████████████████████████████████████████████████████████████▏                          | 173/250 [18:08<08:07,  6.33s/it, loss_test=0.443]

 70%|████████████████████████████████████████████████████████████▌                          | 174/250 [18:14<07:59,  6.31s/it, loss_test=0.444]

 70%|████████████████████████████████████████████████████████████▉                          | 175/250 [18:20<07:53,  6.32s/it, loss_test=0.443]


 71%|█████████████████████████████████████████████████████████████▌                         | 177/250 [18:33<07:42,  6.33s/it, loss_test=0.444]
Epoch: 176, Training Loss: 0.3744, Test Loss: 0.4444

 71%|█████████████████████████████████████████████████████████████▉                         | 178/250 [18:39<07:36,  6.34s/it, loss_test=0.444]

