

 10%|█████████▏                                                                              | 26/250 [02:30<21:35,  5.78s/it, loss_test=0.428]

 11%|█████████▌                                                                              | 27/250 [02:36<21:31,  5.79s/it, loss_test=0.427]

 11%|█████████▊                                                                              | 28/250 [02:42<21:30,  5.81s/it, loss_test=0.427]


 12%|██████████▌                                                                             | 30/250 [02:54<21:31,  5.87s/it, loss_test=0.425]

 12%|██████████▉                                                                             | 31/250 [03:00<21:27,  5.88s/it, loss_test=0.424]
Epoch: 30, Training Loss: 0.4170, Test Loss: 0.4244

 13%|███████████▎                                                                            | 32/250 [03:05<21:12,  5.84s/it, loss_test=0.424]

 13%|███████████▌                                                                            | 33/250 [03:11<21:04,  5.83s/it, loss_test=0.423]

 14%|███████████▉                                                                            | 34/250 [03:17<21:00,  5.84s/it, loss_test=0.423]

 14%|████████████▎                                                                           | 35/250 [03:23<20:58,  5.85s/it, loss_test=0.422]

 14%|████████████▋                                                                           | 36/250 [03:29<20:55,  5.86s/it, loss_test=0.422]

 15%|█████████████                                                                           | 37/250 [03:35<20:45,  5.85s/it, loss_test=0.422]

 15%|█████████████▍                                                                          | 38/250 [03:40<20:30,  5.80s/it, loss_test=0.421]

 16%|█████████████▋                                                                          | 39/250 [03:46<20:32,  5.84s/it, loss_test=0.421]

 16%|██████████████                                                                          | 40/250 [03:52<20:31,  5.86s/it, loss_test=0.421]

 16%|██████████████▍                                                                         | 41/250 [03:58<20:30,  5.89s/it, loss_test=0.421]

 17%|██████████████▊                                                                         | 42/250 [04:04<20:25,  5.89s/it, loss_test=0.420]


 18%|███████████████▍                                                                        | 44/250 [04:16<20:10,  5.88s/it, loss_test=0.420]

 18%|███████████████▊                                                                        | 45/250 [04:22<20:02,  5.86s/it, loss_test=0.420]
Epoch: 44, Training Loss: 0.4113, Test Loss: 0.4199

 18%|████████████████▏                                                                       | 46/250 [04:27<19:47,  5.82s/it, loss_test=0.420]

 19%|████████████████▌                                                                       | 47/250 [04:33<19:40,  5.81s/it, loss_test=0.419]

 19%|████████████████▉                                                                       | 48/250 [04:39<19:30,  5.80s/it, loss_test=0.419]

 20%|█████████████████▏                                                                      | 49/250 [04:45<19:30,  5.82s/it, loss_test=0.419]

 20%|█████████████████▌                                                                      | 50/250 [04:51<19:26,  5.83s/it, loss_test=0.419]

 20%|█████████████████▉                                                                      | 51/250 [04:56<19:15,  5.81s/it, loss_test=0.419]

 21%|██████████████████▎                                                                     | 52/250 [05:02<19:12,  5.82s/it, loss_test=0.419]


 22%|███████████████████                                                                     | 54/250 [05:14<19:04,  5.84s/it, loss_test=0.419]

 22%|███████████████████▎                                                                    | 55/250 [05:20<18:57,  5.83s/it, loss_test=0.419]

 22%|███████████████████▋                                                                    | 56/250 [05:26<18:55,  5.85s/it, loss_test=0.419]
Epoch: 55, Training Loss: 0.4090, Test Loss: 0.4189

 23%|████████████████████                                                                    | 57/250 [05:32<18:53,  5.87s/it, loss_test=0.419]

 23%|████████████████████▍                                                                   | 58/250 [05:38<18:48,  5.88s/it, loss_test=0.419]

 24%|████████████████████▊                                                                   | 59/250 [05:43<18:44,  5.89s/it, loss_test=0.419]

 24%|█████████████████████                                                                   | 60/250 [05:49<18:32,  5.85s/it, loss_test=0.419]

 24%|█████████████████████▍                                                                  | 61/250 [05:55<18:26,  5.85s/it, loss_test=0.418]

 25%|█████████████████████▊                                                                  | 62/250 [06:01<18:26,  5.88s/it, loss_test=0.418]

 25%|██████████████████████▏                                                                 | 63/250 [06:07<18:28,  5.93s/it, loss_test=0.418]

 26%|██████████████████████▌                                                                 | 64/250 [06:13<18:20,  5.92s/it, loss_test=0.418]

 26%|██████████████████████▉                                                                 | 65/250 [06:19<18:16,  5.93s/it, loss_test=0.418]

 26%|███████████████████████▏                                                                | 66/250 [06:25<18:10,  5.93s/it, loss_test=0.418]

 27%|███████████████████████▌                                                                | 67/250 [06:31<17:58,  5.89s/it, loss_test=0.418]

 27%|███████████████████████▉                                                                | 68/250 [06:36<17:45,  5.85s/it, loss_test=0.418]

 28%|████████████████████████▎                                                               | 69/250 [06:42<17:40,  5.86s/it, loss_test=0.418]


 28%|████████████████████████▉                                                               | 71/250 [06:54<17:35,  5.89s/it, loss_test=0.418]

 29%|█████████████████████████▎                                                              | 72/250 [07:00<17:26,  5.88s/it, loss_test=0.418]

 29%|█████████████████████████▋                                                              | 73/250 [07:06<17:22,  5.89s/it, loss_test=0.418]
Epoch: 72, Training Loss: 0.4066, Test Loss: 0.4184

 30%|██████████████████████████                                                              | 74/250 [07:12<17:16,  5.89s/it, loss_test=0.418]

 30%|██████████████████████████▍                                                             | 75/250 [07:18<17:12,  5.90s/it, loss_test=0.418]

 30%|██████████████████████████▊                                                             | 76/250 [07:24<17:02,  5.88s/it, loss_test=0.418]

 31%|███████████████████████████                                                             | 77/250 [07:29<17:02,  5.91s/it, loss_test=0.418]

 31%|███████████████████████████▍                                                            | 78/250 [07:35<16:53,  5.89s/it, loss_test=0.418]

 32%|███████████████████████████▊                                                            | 79/250 [07:41<16:48,  5.90s/it, loss_test=0.418]

 32%|████████████████████████████▏                                                           | 80/250 [07:47<16:43,  5.91s/it, loss_test=0.418]

 32%|████████████████████████████▌                                                           | 81/250 [07:53<16:32,  5.88s/it, loss_test=0.418]

 33%|████████████████████████████▊                                                           | 82/250 [07:59<16:34,  5.92s/it, loss_test=0.418]

 33%|█████████████████████████████▏                                                          | 83/250 [08:05<16:32,  5.95s/it, loss_test=0.418]

 34%|█████████████████████████████▌                                                          | 84/250 [08:11<16:25,  5.94s/it, loss_test=0.418]

 34%|█████████████████████████████▉                                                          | 85/250 [08:17<16:19,  5.93s/it, loss_test=0.418]

 34%|██████████████████████████████▎                                                         | 86/250 [08:23<16:11,  5.92s/it, loss_test=0.418]

 35%|██████████████████████████████▌                                                         | 87/250 [08:29<16:05,  5.92s/it, loss_test=0.418]

 35%|██████████████████████████████▉                                                         | 88/250 [08:35<15:59,  5.92s/it, loss_test=0.418]

 36%|███████████████████████████████▎                                                        | 89/250 [08:40<15:52,  5.91s/it, loss_test=0.418]

 36%|███████████████████████████████▋                                                        | 90/250 [08:46<15:46,  5.92s/it, loss_test=0.419]


