

 27%|███████████████████████▉                                                                | 68/250 [04:13<11:20,  3.74s/it, loss_test=0.095]

 28%|████████████████████████▎                                                               | 69/250 [04:17<11:15,  3.73s/it, loss_test=0.095]


 28%|████████████████████████▉                                                               | 71/250 [04:24<11:04,  3.71s/it, loss_test=0.095]

 29%|█████████████████████████▎                                                              | 72/250 [04:28<11:03,  3.73s/it, loss_test=0.095]
Epoch: 71, Training Loss: 0.0894, Test Loss: 0.0948

 29%|█████████████████████████▋                                                              | 73/250 [04:32<11:05,  3.76s/it, loss_test=0.095]

 30%|██████████████████████████                                                              | 74/250 [04:35<11:03,  3.77s/it, loss_test=0.095]

 30%|██████████████████████████▍                                                             | 75/250 [04:39<10:58,  3.76s/it, loss_test=0.095]

 30%|██████████████████████████▊                                                             | 76/250 [04:43<10:54,  3.76s/it, loss_test=0.095]

 31%|███████████████████████████                                                             | 77/250 [04:47<10:46,  3.74s/it, loss_test=0.095]


 32%|███████████████████████████▊                                                            | 79/250 [04:54<10:37,  3.73s/it, loss_test=0.095]

 32%|████████████████████████████▏                                                           | 80/250 [04:58<10:38,  3.76s/it, loss_test=0.095]
Epoch: 79, Training Loss: 0.0891, Test Loss: 0.0952

 32%|████████████████████████████▌                                                           | 81/250 [05:02<10:38,  3.78s/it, loss_test=0.095]

 33%|████████████████████████████▊                                                           | 82/250 [05:05<10:35,  3.78s/it, loss_test=0.095]

 33%|█████████████████████████████▏                                                          | 83/250 [05:09<10:36,  3.81s/it, loss_test=0.095]

 34%|█████████████████████████████▌                                                          | 84/250 [05:13<10:35,  3.83s/it, loss_test=0.095]

 34%|█████████████████████████████▉                                                          | 85/250 [05:17<10:29,  3.81s/it, loss_test=0.096]

 34%|██████████████████████████████▎                                                         | 86/250 [05:21<10:28,  3.83s/it, loss_test=0.095]

 35%|██████████████████████████████▌                                                         | 87/250 [05:25<10:28,  3.86s/it, loss_test=0.095]

 35%|██████████████████████████████▉                                                         | 88/250 [05:29<10:25,  3.86s/it, loss_test=0.096]

 36%|███████████████████████████████▎                                                        | 89/250 [05:32<10:18,  3.84s/it, loss_test=0.096]


 36%|████████████████████████████████                                                        | 91/250 [05:40<10:06,  3.82s/it, loss_test=0.096]

