

 36%|█████████████████████████████▌                                                    | 90/250 [08:52<15:53,  5.96s/it, loss_test=0.487]

 36%|█████████████████████████████▊                                                    | 91/250 [08:58<15:47,  5.96s/it, loss_test=0.487]

 37%|██████████████████████████████▏                                                   | 92/250 [09:04<15:40,  5.95s/it, loss_test=0.487]


 37%|██████████████████████████████▌                                                   | 93/250 [09:16<15:34,  5.96s/it, loss_test=0.491]


 38%|███████████████████████████████▏                                                  | 95/250 [09:22<15:21,  5.95s/it, loss_test=0.491]

 38%|███████████████████████████████▍                                                  | 96/250 [09:28<15:17,  5.96s/it, loss_test=0.491]

 39%|███████████████████████████████▊                                                  | 97/250 [09:34<15:13,  5.97s/it, loss_test=0.491]
Epoch: 96, Training Loss: 0.3448, Test Loss: 0.4909

 39%|████████████████████████████████▏                                                 | 98/250 [09:40<15:08,  5.97s/it, loss_test=0.493]

 40%|████████████████████████████████▍                                                 | 99/250 [09:46<15:00,  5.96s/it, loss_test=0.493]

 40%|████████████████████████████████▍                                                | 100/250 [09:52<14:52,  5.95s/it, loss_test=0.494]

 40%|████████████████████████████████▋                                                | 101/250 [09:58<14:46,  5.95s/it, loss_test=0.495]

 41%|█████████████████████████████████                                                | 102/250 [10:04<14:44,  5.97s/it, loss_test=0.495]

 41%|█████████████████████████████████▎                                               | 103/250 [10:10<14:40,  5.99s/it, loss_test=0.495]

 42%|█████████████████████████████████▋                                               | 104/250 [10:16<14:35,  6.00s/it, loss_test=0.496]

 42%|██████████████████████████████████                                               | 105/250 [10:22<14:25,  5.97s/it, loss_test=0.495]

 42%|██████████████████████████████████▎                                              | 106/250 [10:28<14:20,  5.98s/it, loss_test=0.497]

 43%|██████████████████████████████████▋                                              | 107/250 [10:34<14:14,  5.98s/it, loss_test=0.497]

 43%|██████████████████████████████████▉                                              | 108/250 [10:40<14:08,  5.98s/it, loss_test=0.497]

 44%|███████████████████████████████████▎                                             | 109/250 [10:46<13:55,  5.93s/it, loss_test=0.499]

 44%|███████████████████████████████████▋                                             | 110/250 [10:52<13:49,  5.93s/it, loss_test=0.500]

 44%|███████████████████████████████████▉                                             | 111/250 [10:58<13:45,  5.94s/it, loss_test=0.497]

 45%|████████████████████████████████████▎                                            | 112/250 [11:04<13:39,  5.94s/it, loss_test=0.500]

 45%|████████████████████████████████████▌                                            | 113/250 [11:10<13:36,  5.96s/it, loss_test=0.498]

 46%|████████████████████████████████████▉                                            | 114/250 [11:16<13:33,  5.98s/it, loss_test=0.501]

 46%|█████████████████████████████████████▎                                           | 115/250 [11:22<13:26,  5.98s/it, loss_test=0.503]

 46%|█████████████████████████████████████▌                                           | 116/250 [11:27<13:18,  5.96s/it, loss_test=0.501]

 47%|█████████████████████████████████████▉                                           | 117/250 [11:33<13:09,  5.94s/it, loss_test=0.501]

 47%|██████████████████████████████████████▏                                          | 118/250 [11:39<13:00,  5.91s/it, loss_test=0.503]

 48%|██████████████████████████████████████▌                                          | 119/250 [11:45<12:55,  5.92s/it, loss_test=0.504]

 48%|██████████████████████████████████████▉                                          | 120/250 [11:51<12:47,  5.90s/it, loss_test=0.504]

 48%|███████████████████████████████████████▏                                         | 121/250 [11:57<12:40,  5.90s/it, loss_test=0.505]

 49%|███████████████████████████████████████▌                                         | 122/250 [12:03<12:34,  5.90s/it, loss_test=0.507]

 49%|███████████████████████████████████████▊                                         | 123/250 [12:09<12:31,  5.91s/it, loss_test=0.505]

 50%|████████████████████████████████████████▏                                        | 124/250 [12:15<12:31,  5.97s/it, loss_test=0.507]

 50%|████████████████████████████████████████▌                                        | 125/250 [12:21<12:26,  5.98s/it, loss_test=0.506]

 50%|████████████████████████████████████████▊                                        | 126/250 [12:27<12:18,  5.96s/it, loss_test=0.506]

 51%|█████████████████████████████████████████▏                                       | 127/250 [12:33<12:12,  5.95s/it, loss_test=0.507]

 51%|█████████████████████████████████████████▍                                       | 128/250 [12:39<12:08,  5.97s/it, loss_test=0.508]

 52%|█████████████████████████████████████████▊                                       | 129/250 [12:45<12:00,  5.96s/it, loss_test=0.506]


