

 30%|████████████████████████▌                                                         | 75/250 [04:57<11:41,  4.01s/it, loss_test=0.081]

 30%|████████████████████████▉                                                         | 76/250 [05:02<11:39,  4.02s/it, loss_test=0.081]

 31%|█████████████████████████▎                                                        | 77/250 [05:06<11:36,  4.03s/it, loss_test=0.081]


 32%|█████████████████████████▉                                                        | 79/250 [05:14<11:34,  4.06s/it, loss_test=0.081]
Epoch: 78, Training Loss: 0.0801, Test Loss: 0.0813


 32%|██████████████████████████▌                                                       | 81/250 [05:22<11:23,  4.04s/it, loss_test=0.081]

 33%|██████████████████████████▉                                                       | 82/250 [05:26<11:19,  4.05s/it, loss_test=0.081]

 33%|███████████████████████████▏                                                      | 83/250 [05:30<11:12,  4.03s/it, loss_test=0.081]
Epoch: 82, Training Loss: 0.0800, Test Loss: 0.0813


 34%|███████████████████████████▉                                                      | 85/250 [05:38<11:01,  4.01s/it, loss_test=0.081]

 34%|████████████████████████████▏                                                     | 86/250 [05:42<11:04,  4.05s/it, loss_test=0.081]

 35%|████████████████████████████▌                                                     | 87/250 [05:46<10:59,  4.04s/it, loss_test=0.081]

 35%|████████████████████████████▊                                                     | 88/250 [05:50<10:52,  4.03s/it, loss_test=0.081]

 36%|█████████████████████████████▏                                                    | 89/250 [05:54<10:43,  3.99s/it, loss_test=0.081]
Epoch: 88, Training Loss: 0.0799, Test Loss: 0.0811

 36%|█████████████████████████████▌                                                    | 90/250 [05:58<10:34,  3.96s/it, loss_test=0.081]


 37%|██████████████████████████████▏                                                   | 92/250 [06:06<10:37,  4.03s/it, loss_test=0.081]

 37%|██████████████████████████████▌                                                   | 93/250 [06:10<10:33,  4.04s/it, loss_test=0.081]

 38%|██████████████████████████████▊                                                   | 94/250 [06:14<10:29,  4.03s/it, loss_test=0.081]

 38%|███████████████████████████████▏                                                  | 95/250 [06:18<10:29,  4.06s/it, loss_test=0.081]

 38%|███████████████████████████████▍                                                  | 96/250 [06:22<10:25,  4.06s/it, loss_test=0.081]
Epoch: 95, Training Loss: 0.0798, Test Loss: 0.0810

 39%|███████████████████████████████▊                                                  | 97/250 [06:26<10:24,  4.08s/it, loss_test=0.081]

 39%|████████████████████████████████▏                                                 | 98/250 [06:30<10:24,  4.11s/it, loss_test=0.081]

 40%|████████████████████████████████▍                                                 | 99/250 [06:34<10:16,  4.08s/it, loss_test=0.081]

