

 20%|█████████████████▌                                                                      | 50/250 [06:32<26:21,  7.91s/it, loss_test=0.589]


 21%|██████████████████▎                                                                     | 52/250 [06:48<25:52,  7.84s/it, loss_test=0.589]
Epoch: 51, Training Loss: 0.5695, Test Loss: 0.5892

 21%|██████████████████▋                                                                     | 53/250 [06:56<25:40,  7.82s/it, loss_test=0.589]

 22%|███████████████████                                                                     | 54/250 [07:04<25:30,  7.81s/it, loss_test=0.589]

 22%|███████████████████▎                                                                    | 55/250 [07:11<25:18,  7.79s/it, loss_test=0.589]

 22%|███████████████████▋                                                                    | 56/250 [07:19<25:15,  7.81s/it, loss_test=0.589]

 23%|████████████████████                                                                    | 57/250 [07:27<25:09,  7.82s/it, loss_test=0.589]

 23%|████████████████████▍                                                                   | 58/250 [07:35<25:05,  7.84s/it, loss_test=0.589]

 24%|████████████████████▊                                                                   | 59/250 [07:43<24:57,  7.84s/it, loss_test=0.589]

 24%|█████████████████████                                                                   | 60/250 [07:51<25:01,  7.90s/it, loss_test=0.589]

 24%|█████████████████████▍                                                                  | 61/250 [07:59<24:48,  7.88s/it, loss_test=0.589]

 25%|█████████████████████▊                                                                  | 62/250 [08:06<24:39,  7.87s/it, loss_test=0.590]


 26%|██████████████████████▌                                                                 | 64/250 [08:22<24:26,  7.88s/it, loss_test=0.589]

 26%|██████████████████████▉                                                                 | 65/250 [08:30<24:20,  7.89s/it, loss_test=0.590]

 26%|███████████████████████▏                                                                | 66/250 [08:38<24:14,  7.90s/it, loss_test=0.590]
Epoch: 65, Training Loss: 0.5657, Test Loss: 0.5901

 27%|███████████████████████▌                                                                | 67/250 [08:46<24:01,  7.88s/it, loss_test=0.590]

 27%|███████████████████████▉                                                                | 68/250 [08:54<23:48,  7.85s/it, loss_test=0.590]

 28%|████████████████████████▎                                                               | 69/250 [09:01<23:39,  7.84s/it, loss_test=0.590]

 28%|████████████████████████▋                                                               | 70/250 [09:09<23:28,  7.82s/it, loss_test=0.590]

 28%|████████████████████████▉                                                               | 71/250 [09:17<23:24,  7.84s/it, loss_test=0.590]

 29%|█████████████████████████▎                                                              | 72/250 [09:25<23:14,  7.84s/it, loss_test=0.590]

 29%|█████████████████████████▋                                                              | 73/250 [09:33<23:06,  7.83s/it, loss_test=0.590]

 30%|██████████████████████████                                                              | 74/250 [09:41<23:09,  7.90s/it, loss_test=0.591]

 30%|██████████████████████████▍                                                             | 75/250 [09:49<23:00,  7.89s/it, loss_test=0.591]


 31%|███████████████████████████                                                             | 77/250 [10:04<22:39,  7.86s/it, loss_test=0.591]

 31%|███████████████████████████▍                                                            | 78/250 [10:12<22:36,  7.88s/it, loss_test=0.591]

 32%|███████████████████████████▊                                                            | 79/250 [10:20<22:26,  7.87s/it, loss_test=0.591]
Epoch: 78, Training Loss: 0.5625, Test Loss: 0.5906

 32%|████████████████████████████▏                                                           | 80/250 [10:28<22:18,  7.87s/it, loss_test=0.591]

 32%|████████████████████████████▌                                                           | 81/250 [10:36<22:07,  7.86s/it, loss_test=0.592]

 33%|████████████████████████████▊                                                           | 82/250 [10:44<22:05,  7.89s/it, loss_test=0.591]

 33%|█████████████████████████████▏                                                          | 83/250 [10:52<21:50,  7.85s/it, loss_test=0.592]

 34%|█████████████████████████████▌                                                          | 84/250 [10:59<21:43,  7.85s/it, loss_test=0.592]

 34%|█████████████████████████████▉                                                          | 85/250 [11:08<21:52,  7.95s/it, loss_test=0.593]

 34%|██████████████████████████████▎                                                         | 86/250 [11:15<21:37,  7.91s/it, loss_test=0.592]

 35%|██████████████████████████████▌                                                         | 87/250 [11:23<21:25,  7.89s/it, loss_test=0.592]

 35%|██████████████████████████████▉                                                         | 88/250 [11:31<21:19,  7.90s/it, loss_test=0.593]

 36%|███████████████████████████████▎                                                        | 89/250 [11:39<21:09,  7.89s/it, loss_test=0.593]

 36%|███████████████████████████████▋                                                        | 90/250 [11:47<21:02,  7.89s/it, loss_test=0.593]

 36%|████████████████████████████████                                                        | 91/250 [11:55<20:51,  7.87s/it, loss_test=0.592]

 37%|████████████████████████████████▍                                                       | 92/250 [12:03<20:49,  7.91s/it, loss_test=0.593]


 37%|████████████████████████████████▋                                                       | 93/250 [12:18<20:39,  7.89s/it, loss_test=0.594]


 38%|█████████████████████████████████▍                                                      | 95/250 [12:26<20:25,  7.91s/it, loss_test=0.594]

 38%|█████████████████████████████████▊                                                      | 96/250 [12:34<20:13,  7.88s/it, loss_test=0.594]
Epoch: 95, Training Loss: 0.5586, Test Loss: 0.5937

 39%|██████████████████████████████████▏                                                     | 97/250 [12:42<19:59,  7.84s/it, loss_test=0.595]

 39%|██████████████████████████████████▍                                                     | 98/250 [12:50<19:55,  7.87s/it, loss_test=0.594]

 40%|██████████████████████████████████▊                                                     | 99/250 [12:58<19:48,  7.87s/it, loss_test=0.594]


 40%|███████████████████████████████████▏                                                   | 101/250 [13:14<19:30,  7.86s/it, loss_test=0.595]
Epoch: 100, Training Loss: 0.5575, Test Loss: 0.5950

 41%|███████████████████████████████████▍                                                   | 102/250 [13:21<19:26,  7.88s/it, loss_test=0.595]

 41%|███████████████████████████████████▊                                                   | 103/250 [13:29<19:16,  7.87s/it, loss_test=0.595]

 42%|████████████████████████████████████▏                                                  | 104/250 [13:37<19:09,  7.88s/it, loss_test=0.596]

 42%|████████████████████████████████████▌                                                  | 105/250 [13:45<18:59,  7.86s/it, loss_test=0.596]


 43%|█████████████████████████████████████▏                                                 | 107/250 [14:01<18:48,  7.89s/it, loss_test=0.596]
Epoch: 106, Training Loss: 0.5561, Test Loss: 0.5964


 44%|█████████████████████████████████████▉                                                 | 109/250 [14:16<18:28,  7.86s/it, loss_test=0.597]

 44%|██████████████████████████████████████▎                                                | 110/250 [14:24<18:19,  7.85s/it, loss_test=0.597]

 44%|██████████████████████████████████████▋                                                | 111/250 [14:32<18:12,  7.86s/it, loss_test=0.597]

 45%|██████████████████████████████████████▉                                                | 112/250 [14:40<18:07,  7.88s/it, loss_test=0.598]

 45%|███████████████████████████████████████▎                                               | 113/250 [14:48<17:59,  7.88s/it, loss_test=0.597]

 46%|███████████████████████████████████████▋                                               | 114/250 [14:56<17:53,  7.89s/it, loss_test=0.597]
Epoch: 113, Training Loss: 0.5545, Test Loss: 0.5974


 46%|████████████████████████████████████████▎                                              | 116/250 [15:12<17:37,  7.89s/it, loss_test=0.598]

 47%|████████████████████████████████████████▋                                              | 117/250 [15:20<17:28,  7.89s/it, loss_test=0.598]
Epoch: 116, Training Loss: 0.5539, Test Loss: 0.5978

 47%|█████████████████████████████████████████                                              | 118/250 [15:27<17:18,  7.87s/it, loss_test=0.598]

 48%|█████████████████████████████████████████▍                                             | 119/250 [15:35<17:11,  7.87s/it, loss_test=0.600]

 48%|█████████████████████████████████████████▊                                             | 120/250 [15:43<17:03,  7.87s/it, loss_test=0.599]

 48%|██████████████████████████████████████████                                             | 121/250 [15:51<16:53,  7.86s/it, loss_test=0.599]

 49%|██████████████████████████████████████████▍                                            | 122/250 [15:59<16:47,  7.87s/it, loss_test=0.600]

 49%|██████████████████████████████████████████▊                                            | 123/250 [16:07<16:42,  7.90s/it, loss_test=0.601]

 50%|███████████████████████████████████████████▏                                           | 124/250 [16:15<16:35,  7.90s/it, loss_test=0.600]


 50%|███████████████████████████████████████████▊                                           | 126/250 [16:30<16:16,  7.87s/it, loss_test=0.600]
Epoch: 125, Training Loss: 0.5519, Test Loss: 0.6002

 51%|████████████████████████████████████████████▏                                          | 127/250 [16:38<16:07,  7.87s/it, loss_test=0.600]

 51%|████████████████████████████████████████████▌                                          | 128/250 [16:46<16:00,  7.87s/it, loss_test=0.600]

 52%|████████████████████████████████████████████▉                                          | 129/250 [16:54<15:53,  7.88s/it, loss_test=0.602]

 52%|█████████████████████████████████████████████▏                                         | 130/250 [17:02<15:46,  7.88s/it, loss_test=0.602]

 52%|█████████████████████████████████████████████▌                                         | 131/250 [17:10<15:35,  7.87s/it, loss_test=0.602]

 53%|█████████████████████████████████████████████▉                                         | 132/250 [17:18<15:28,  7.87s/it, loss_test=0.602]

 53%|██████████████████████████████████████████████▎                                        | 133/250 [17:25<15:17,  7.84s/it, loss_test=0.602]

 54%|██████████████████████████████████████████████▋                                        | 134/250 [17:33<15:09,  7.84s/it, loss_test=0.602]

 54%|██████████████████████████████████████████████▉                                        | 135/250 [17:41<15:02,  7.85s/it, loss_test=0.603]

 54%|███████████████████████████████████████████████▎                                       | 136/250 [17:49<14:54,  7.85s/it, loss_test=0.602]

 55%|███████████████████████████████████████████████▋                                       | 137/250 [17:57<14:45,  7.84s/it, loss_test=0.603]

 55%|████████████████████████████████████████████████                                       | 138/250 [18:05<14:37,  7.83s/it, loss_test=0.603]

 56%|████████████████████████████████████████████████▎                                      | 139/250 [18:13<14:31,  7.85s/it, loss_test=0.604]

 56%|████████████████████████████████████████████████▋                                      | 140/250 [18:20<14:23,  7.85s/it, loss_test=0.605]


 57%|█████████████████████████████████████████████████▍                                     | 142/250 [18:36<14:15,  7.92s/it, loss_test=0.604]
Epoch: 141, Training Loss: 0.5484, Test Loss: 0.6038


 58%|██████████████████████████████████████████████████                                     | 144/250 [18:52<13:56,  7.90s/it, loss_test=0.604]

 58%|██████████████████████████████████████████████████▍                                    | 145/250 [19:00<13:50,  7.91s/it, loss_test=0.604]

 58%|██████████████████████████████████████████████████▊                                    | 146/250 [19:08<13:41,  7.90s/it, loss_test=0.605]

 59%|███████████████████████████████████████████████████▏                                   | 147/250 [19:16<13:31,  7.88s/it, loss_test=0.605]

 59%|███████████████████████████████████████████████████▌                                   | 148/250 [19:24<13:30,  7.94s/it, loss_test=0.606]

 60%|███████████████████████████████████████████████████▊                                   | 149/250 [19:32<13:31,  8.03s/it, loss_test=0.606]
Epoch: 148, Training Loss: 0.5469, Test Loss: 0.6063


 60%|████████████████████████████████████████████████████▌                                  | 151/250 [19:49<13:26,  8.15s/it, loss_test=0.607]

 61%|████████████████████████████████████████████████████▉                                  | 152/250 [19:57<13:15,  8.11s/it, loss_test=0.606]

 61%|█████████████████████████████████████████████████████▏                                 | 153/250 [20:05<13:09,  8.14s/it, loss_test=0.606]

 62%|█████████████████████████████████████████████████████▌                                 | 154/250 [20:13<13:04,  8.17s/it, loss_test=0.607]

 62%|█████████████████████████████████████████████████████▉                                 | 155/250 [20:21<12:55,  8.16s/it, loss_test=0.607]
