

 13%|████████████▉                                                                                     | 33/250 [02:38<17:09,  4.75s/it, loss_test=0.189]

 14%|█████████████▎                                                                                    | 34/250 [02:43<16:49,  4.67s/it, loss_test=0.189]

 14%|█████████████▋                                                                                    | 35/250 [02:47<16:41,  4.66s/it, loss_test=0.189]

 14%|██████████████                                                                                    | 36/250 [02:53<17:27,  4.90s/it, loss_test=0.189]

 15%|██████████████▌                                                                                   | 37/250 [02:58<17:20,  4.88s/it, loss_test=0.189]

 15%|██████████████▉                                                                                   | 38/250 [03:03<17:16,  4.89s/it, loss_test=0.189]

 16%|███████████████▎                                                                                  | 39/250 [03:08<17:44,  5.04s/it, loss_test=0.189]

 16%|███████████████▋                                                                                  | 40/250 [03:13<17:21,  4.96s/it, loss_test=0.189]


 17%|████████████████▍                                                                                 | 42/250 [03:22<16:27,  4.75s/it, loss_test=0.189]
Epoch: 41, Training Loss: 0.1814, Test Loss: 0.1891

 17%|████████████████▊                                                                                 | 43/250 [03:27<16:46,  4.86s/it, loss_test=0.190]

 18%|█████████████████▏                                                                                | 44/250 [03:32<17:11,  5.01s/it, loss_test=0.189]

 18%|█████████████████▋                                                                                | 45/250 [03:37<17:07,  5.01s/it, loss_test=0.190]

 18%|██████████████████                                                                                | 46/250 [03:42<16:27,  4.84s/it, loss_test=0.190]

 19%|██████████████████▍                                                                               | 47/250 [03:47<16:21,  4.83s/it, loss_test=0.190]

 19%|██████████████████▊                                                                               | 48/250 [03:52<16:25,  4.88s/it, loss_test=0.190]

 20%|███████████████████▏                                                                              | 49/250 [03:56<15:58,  4.77s/it, loss_test=0.190]

 20%|███████████████████▌                                                                              | 50/250 [04:01<15:40,  4.70s/it, loss_test=0.190]

 20%|███████████████████▉                                                                              | 51/250 [04:06<16:01,  4.83s/it, loss_test=0.190]

 21%|████████████████████▍                                                                             | 52/250 [04:10<15:33,  4.72s/it, loss_test=0.190]

 21%|████████████████████▊                                                                             | 53/250 [04:15<15:35,  4.75s/it, loss_test=0.190]

 22%|█████████████████████▏                                                                            | 54/250 [04:20<15:21,  4.70s/it, loss_test=0.191]

 22%|█████████████████████▌                                                                            | 55/250 [04:25<15:52,  4.89s/it, loss_test=0.191]

 22%|█████████████████████▉                                                                            | 56/250 [04:29<15:30,  4.80s/it, loss_test=0.191]

 23%|██████████████████████▎                                                                           | 57/250 [04:34<15:32,  4.83s/it, loss_test=0.191]

 23%|██████████████████████▋                                                                           | 58/250 [04:39<15:08,  4.73s/it, loss_test=0.191]


 24%|███████████████████████▌                                                                          | 60/250 [04:48<14:42,  4.65s/it, loss_test=0.191]
Epoch: 59, Training Loss: 0.1792, Test Loss: 0.1911

 24%|███████████████████████▉                                                                          | 61/250 [04:53<14:46,  4.69s/it, loss_test=0.191]

 25%|████████████████████████▎                                                                         | 62/250 [04:57<14:32,  4.64s/it, loss_test=0.192]

 25%|████████████████████████▋                                                                         | 63/250 [05:02<14:19,  4.60s/it, loss_test=0.192]

 26%|█████████████████████████                                                                         | 64/250 [05:06<14:06,  4.55s/it, loss_test=0.192]


 26%|█████████████████████████▊                                                                        | 66/250 [05:16<14:21,  4.68s/it, loss_test=0.192]
Epoch: 65, Training Loss: 0.1783, Test Loss: 0.1918


 27%|██████████████████████████▋                                                                       | 68/250 [05:26<14:50,  4.89s/it, loss_test=0.193]
Epoch: 67, Training Loss: 0.1780, Test Loss: 0.1925

 28%|███████████████████████████                                                                       | 69/250 [05:31<15:03,  4.99s/it, loss_test=0.192]

 28%|███████████████████████████▍                                                                      | 70/250 [05:36<14:30,  4.84s/it, loss_test=0.193]

 28%|███████████████████████████▊                                                                      | 71/250 [05:40<14:11,  4.76s/it, loss_test=0.193]

 29%|████████████████████████████▏                                                                     | 72/250 [05:45<13:57,  4.71s/it, loss_test=0.193]

 29%|████████████████████████████▌                                                                     | 73/250 [05:50<14:04,  4.77s/it, loss_test=0.193]

 30%|█████████████████████████████                                                                     | 74/250 [05:54<13:52,  4.73s/it, loss_test=0.193]

 30%|█████████████████████████████▍                                                                    | 75/250 [05:59<13:38,  4.67s/it, loss_test=0.193]

 30%|█████████████████████████████▊                                                                    | 76/250 [06:04<13:27,  4.64s/it, loss_test=0.193]

 31%|██████████████████████████████▏                                                                   | 77/250 [06:08<13:29,  4.68s/it, loss_test=0.194]

 31%|██████████████████████████████▌                                                                   | 78/250 [06:13<13:09,  4.59s/it, loss_test=0.194]

