

Epoch: 66, Training Loss: 0.0861, Test Loss: 0.0872

 27%|██████████████████████████▋                                                                       | 68/250 [04:22<11:49,  3.90s/it, loss_test=0.087]

 28%|███████████████████████████                                                                       | 69/250 [04:25<11:44,  3.89s/it, loss_test=0.087]

 28%|███████████████████████████▍                                                                      | 70/250 [04:29<11:41,  3.90s/it, loss_test=0.087]

 28%|███████████████████████████▊                                                                      | 71/250 [04:33<11:37,  3.90s/it, loss_test=0.087]

 29%|████████████████████████████▏                                                                     | 72/250 [04:37<11:35,  3.90s/it, loss_test=0.087]

 29%|████████████████████████████▌                                                                     | 73/250 [04:41<11:29,  3.90s/it, loss_test=0.087]

 30%|█████████████████████████████                                                                     | 74/250 [04:45<11:21,  3.87s/it, loss_test=0.087]

 30%|█████████████████████████████▍                                                                    | 75/250 [04:48<11:06,  3.81s/it, loss_test=0.087]


 31%|██████████████████████████████▏                                                                   | 77/250 [04:56<10:52,  3.77s/it, loss_test=0.087]

 31%|██████████████████████████████▌                                                                   | 78/250 [05:00<10:44,  3.75s/it, loss_test=0.087]
Epoch: 77, Training Loss: 0.0857, Test Loss: 0.0870

 32%|██████████████████████████████▉                                                                   | 79/250 [05:03<10:39,  3.74s/it, loss_test=0.087]

 32%|███████████████████████████████▎                                                                  | 80/250 [05:07<10:34,  3.73s/it, loss_test=0.087]

 32%|███████████████████████████████▊                                                                  | 81/250 [05:11<10:35,  3.76s/it, loss_test=0.087]

 33%|████████████████████████████████▏                                                                 | 82/250 [05:15<10:35,  3.78s/it, loss_test=0.087]

 33%|████████████████████████████████▌                                                                 | 83/250 [05:19<10:32,  3.79s/it, loss_test=0.087]

 34%|████████████████████████████████▉                                                                 | 84/250 [05:22<10:30,  3.80s/it, loss_test=0.087]


 34%|█████████████████████████████████▎                                                                | 85/250 [05:30<10:29,  3.82s/it, loss_test=0.087]


 35%|██████████████████████████████████                                                                | 87/250 [05:34<10:30,  3.87s/it, loss_test=0.087]

 35%|██████████████████████████████████▍                                                               | 88/250 [05:38<10:29,  3.88s/it, loss_test=0.087]

 36%|██████████████████████████████████▉                                                               | 89/250 [05:42<10:26,  3.89s/it, loss_test=0.087]

 36%|███████████████████████████████████▎                                                              | 90/250 [05:46<10:20,  3.88s/it, loss_test=0.087]
Epoch: 89, Training Loss: 0.0855, Test Loss: 0.0867

