

 18%|██████████████▊                                                                   | 45/250 [03:19<15:20,  4.49s/it, loss_test=0.187]

 18%|███████████████                                                                   | 46/250 [03:24<15:09,  4.46s/it, loss_test=0.187]

 19%|███████████████▍                                                                  | 47/250 [03:28<15:07,  4.47s/it, loss_test=0.187]

 19%|███████████████▋                                                                  | 48/250 [03:33<15:06,  4.49s/it, loss_test=0.187]

 20%|████████████████                                                                  | 49/250 [03:37<14:58,  4.47s/it, loss_test=0.187]

 20%|████████████████▍                                                                 | 50/250 [03:42<14:55,  4.48s/it, loss_test=0.187]
Epoch: 49, Training Loss: 0.1832, Test Loss: 0.1867


 21%|█████████████████                                                                 | 52/250 [03:51<14:48,  4.49s/it, loss_test=0.187]

 21%|█████████████████▍                                                                | 53/250 [03:55<14:48,  4.51s/it, loss_test=0.187]

 22%|█████████████████▋                                                                | 54/250 [04:00<14:42,  4.50s/it, loss_test=0.186]
Epoch: 53, Training Loss: 0.1830, Test Loss: 0.1865


 22%|██████████████████▎                                                               | 56/250 [04:09<14:25,  4.46s/it, loss_test=0.187]

 23%|██████████████████▋                                                               | 57/250 [04:13<14:16,  4.44s/it, loss_test=0.187]

 23%|███████████████████                                                               | 58/250 [04:17<14:16,  4.46s/it, loss_test=0.187]

 24%|███████████████████▎                                                              | 59/250 [04:22<14:10,  4.45s/it, loss_test=0.186]

 24%|███████████████████▋                                                              | 60/250 [04:26<14:08,  4.46s/it, loss_test=0.187]

 24%|████████████████████                                                              | 61/250 [04:31<14:00,  4.45s/it, loss_test=0.186]

 25%|████████████████████▎                                                             | 62/250 [04:35<13:58,  4.46s/it, loss_test=0.187]

 25%|████████████████████▋                                                             | 63/250 [04:40<13:54,  4.46s/it, loss_test=0.187]

 26%|████████████████████▉                                                             | 64/250 [04:44<13:52,  4.47s/it, loss_test=0.187]

 26%|█████████████████████▎                                                            | 65/250 [04:49<13:45,  4.46s/it, loss_test=0.186]

 26%|█████████████████████▋                                                            | 66/250 [04:53<13:33,  4.42s/it, loss_test=0.186]

 27%|█████████████████████▉                                                            | 67/250 [04:57<13:29,  4.43s/it, loss_test=0.187]

 27%|██████████████████████▎                                                           | 68/250 [05:02<13:23,  4.42s/it, loss_test=0.187]

 28%|██████████████████████▋                                                           | 69/250 [05:06<13:22,  4.43s/it, loss_test=0.187]

 28%|██████████████████████▉                                                           | 70/250 [05:11<13:15,  4.42s/it, loss_test=0.186]

 28%|███████████████████████▎                                                          | 71/250 [05:15<13:13,  4.43s/it, loss_test=0.187]

 29%|███████████████████████▌                                                          | 72/250 [05:20<13:09,  4.44s/it, loss_test=0.187]

 29%|███████████████████████▉                                                          | 73/250 [05:24<13:05,  4.44s/it, loss_test=0.187]

 30%|████████████████████████▎                                                         | 74/250 [05:29<13:11,  4.50s/it, loss_test=0.187]

 30%|████████████████████████▌                                                         | 75/250 [05:33<13:12,  4.53s/it, loss_test=0.186]

 30%|████████████████████████▉                                                         | 76/250 [05:38<13:11,  4.55s/it, loss_test=0.187]

 31%|█████████████████████████▎                                                        | 77/250 [05:42<13:09,  4.56s/it, loss_test=0.186]

 31%|█████████████████████████▌                                                        | 78/250 [05:47<12:57,  4.52s/it, loss_test=0.187]

 32%|█████████████████████████▉                                                        | 79/250 [05:51<12:44,  4.47s/it, loss_test=0.187]

 32%|██████████████████████████▏                                                       | 80/250 [05:56<12:41,  4.48s/it, loss_test=0.187]
Epoch: 79, Training Loss: 0.1817, Test Loss: 0.1866


 33%|██████████████████████████▉                                                       | 82/250 [06:05<12:31,  4.47s/it, loss_test=0.187]

 33%|███████████████████████████▏                                                      | 83/250 [06:09<12:24,  4.46s/it, loss_test=0.186]

 34%|███████████████████████████▌                                                      | 84/250 [06:14<12:26,  4.49s/it, loss_test=0.187]

 34%|███████████████████████████▌                                                      | 84/250 [06:18<12:26,  4.49s/it, loss_test=0.186]


 34%|████████████████████████████▏                                                     | 86/250 [06:23<12:20,  4.52s/it, loss_test=0.187]

 35%|████████████████████████████▌                                                     | 87/250 [06:27<12:15,  4.51s/it, loss_test=0.187]

 35%|████████████████████████████▊                                                     | 88/250 [06:32<12:10,  4.51s/it, loss_test=0.187]

 36%|█████████████████████████████▏                                                    | 89/250 [06:36<11:56,  4.45s/it, loss_test=0.187]

