

 27%|███████████████████████▉                                                                | 68/250 [06:36<17:57,  5.92s/it, loss_test=0.467]


 28%|████████████████████████▋                                                               | 70/250 [06:48<17:44,  5.91s/it, loss_test=0.468]

 28%|████████████████████████▉                                                               | 71/250 [06:54<17:38,  5.91s/it, loss_test=0.469]

 29%|█████████████████████████▎                                                              | 72/250 [07:00<17:33,  5.92s/it, loss_test=0.469]

 29%|█████████████████████████▋                                                              | 73/250 [07:06<17:22,  5.89s/it, loss_test=0.471]

 30%|██████████████████████████                                                              | 74/250 [07:12<17:15,  5.88s/it, loss_test=0.470]
Epoch: 73, Training Loss: 0.3757, Test Loss: 0.4698

 30%|██████████████████████████▍                                                             | 75/250 [07:18<17:09,  5.88s/it, loss_test=0.471]

 30%|██████████████████████████▊                                                             | 76/250 [07:24<17:07,  5.91s/it, loss_test=0.471]

 31%|███████████████████████████                                                             | 77/250 [07:29<16:58,  5.89s/it, loss_test=0.472]

 31%|███████████████████████████▍                                                            | 78/250 [07:35<16:52,  5.89s/it, loss_test=0.474]

 32%|███████████████████████████▊                                                            | 79/250 [07:41<16:49,  5.90s/it, loss_test=0.474]

 32%|████████████████████████████▏                                                           | 80/250 [07:47<16:42,  5.90s/it, loss_test=0.476]

 32%|████████████████████████████▌                                                           | 81/250 [07:53<16:37,  5.90s/it, loss_test=0.476]

 33%|████████████████████████████▊                                                           | 82/250 [07:59<16:32,  5.91s/it, loss_test=0.477]

 33%|█████████████████████████████▏                                                          | 83/250 [08:05<16:25,  5.90s/it, loss_test=0.478]

 34%|█████████████████████████████▌                                                          | 84/250 [08:11<16:19,  5.90s/it, loss_test=0.478]

 34%|█████████████████████████████▉                                                          | 85/250 [08:17<16:10,  5.88s/it, loss_test=0.479]


 35%|██████████████████████████████▌                                                         | 87/250 [08:28<15:57,  5.88s/it, loss_test=0.481]

 35%|██████████████████████████████▉                                                         | 88/250 [08:34<15:49,  5.86s/it, loss_test=0.480]

 36%|███████████████████████████████▎                                                        | 89/250 [08:40<15:51,  5.91s/it, loss_test=0.482]

 36%|███████████████████████████████▋                                                        | 90/250 [08:46<15:48,  5.93s/it, loss_test=0.483]

 36%|████████████████████████████████                                                        | 91/250 [08:52<15:49,  5.97s/it, loss_test=0.482]

 37%|████████████████████████████████▍                                                       | 92/250 [08:58<15:44,  5.98s/it, loss_test=0.483]

 37%|████████████████████████████████▋                                                       | 93/250 [09:04<15:34,  5.95s/it, loss_test=0.485]

 38%|█████████████████████████████████                                                       | 94/250 [09:10<15:25,  5.93s/it, loss_test=0.485]

 38%|█████████████████████████████████▍                                                      | 95/250 [09:16<15:18,  5.93s/it, loss_test=0.486]
Epoch: 94, Training Loss: 0.3655, Test Loss: 0.4859

 38%|█████████████████████████████████▊                                                      | 96/250 [09:22<15:05,  5.88s/it, loss_test=0.485]

 39%|██████████████████████████████████▏                                                     | 97/250 [09:28<14:57,  5.87s/it, loss_test=0.485]

 39%|██████████████████████████████████▍                                                     | 98/250 [09:33<14:54,  5.89s/it, loss_test=0.487]

 40%|██████████████████████████████████▊                                                     | 99/250 [09:39<14:50,  5.89s/it, loss_test=0.486]

 40%|██████████████████████████████████▊                                                    | 100/250 [09:45<14:51,  5.94s/it, loss_test=0.488]

 40%|███████████████████████████████████▏                                                   | 101/250 [09:51<14:51,  5.98s/it, loss_test=0.489]

 41%|███████████████████████████████████▍                                                   | 102/250 [09:57<14:45,  5.99s/it, loss_test=0.488]

 41%|███████████████████████████████████▊                                                   | 103/250 [10:03<14:37,  5.97s/it, loss_test=0.489]

 42%|████████████████████████████████████▏                                                  | 104/250 [10:09<14:31,  5.97s/it, loss_test=0.490]

 42%|████████████████████████████████████▌                                                  | 105/250 [10:15<14:31,  6.01s/it, loss_test=0.490]

 42%|████████████████████████████████████▉                                                  | 106/250 [10:21<14:21,  5.98s/it, loss_test=0.492]

